"序号","主题簇","论文","年份","发表状态","主要机构","核心贡献","官方代码状态（截至2026-08-06）","论文链接","代码链接","对目标项目的价值","关键局限","复现优先级"
"1","基础范式与工具使用","ReAct: Synergizing Reasoning and Acting in Language Models","2023","ICLR 2023","Princeton; Google Research","把显式推理轨迹与环境动作交错，形成通用的观察—思考—行动循环","有官方代码","https://openreview.net/forum?id=WE_vluYUL-X","https://github.com/ysymyth/ReAct","最小 Agent baseline；便于分析错误发生在推理还是行动","轨迹依赖提示词；没有系统解决状态恢复、并发和评测有效性","A-基线必复现"
"2","基础范式与工具使用","Toolformer: Language Models Can Teach Themselves to Use Tools","2023","NeurIPS 2023","Meta AI","通过自监督筛选 API 调用样本，让模型学习何时及如何调用工具","未定位到作者官方实现","https://proceedings.neurips.cc/paper_files/paper/2023/hash/d842425e4bf79ba039352da0f658a906-Abstract-Conference.html","","理解工具使用训练范式及调用决策","偏模型训练，不能直接提供 runtime、状态环境或可靠性评测","C-综述参考"
"3","基础范式与工具使用","ToolLLM: Facilitating Large Language Models to Master 16000+ Real-world APIs","2024","ICLR 2024","Tsinghua; ModelBest","构建大规模真实 API 数据、DFSDT 推理和 ToolBench 评测链路","有官方代码与数据","https://openreview.net/forum?id=dHng2O0Jjr","https://github.com/OpenBMB/ToolBench","提供工具 schema、检索、轨迹生成与基准构建经验","真实 API 易漂移；后续 StableToolBench 说明原评测存在不稳定性","B-组件借鉴"
"4","基础范式与工具使用","Gorilla: Large Language Model Connected with Massive APIs","2024","NeurIPS 2024","UC Berkeley; Microsoft Research","用检索感知训练降低 API 幻觉，并建立大规模函数调用评测","有官方代码","https://proceedings.neurips.cc/paper_files/paper/2024/hash/e4c61f578ff07830f5c37378dd3ecb0d-Abstract-Conference.html","https://github.com/ShishirPatil/gorilla","可借鉴工具检索、schema 适配和幻觉检测","更偏 API 选择与参数正确性，长时状态和恢复覆盖有限","B-组件借鉴"
"5","基础范式与工具使用","Executable Code Actions Elicit Better LLM Agents","2024","ICML 2024","University of Illinois; Carnegie Mellon University","用可执行 Python 代码作为统一行动空间，减少冗长 JSON 工具调用","有官方代码","https://proceedings.mlr.press/v235/wang24h.html","https://github.com/xingyaoww/code-act","适合作为 code-action baseline，比较 structured calls 与代码动作","代码执行扩大安全面；需强隔离和资源限制","B-基线候选"
"6","基础范式与工具使用","SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering","2024","NeurIPS 2024","Princeton","通过专门的 Agent-Computer Interface 改造文件浏览、编辑和反馈循环","有官方代码","https://proceedings.neurips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html","https://github.com/SWE-agent/SWE-agent","说明接口设计本身能显著影响 Agent 能力；可借鉴轨迹与沙箱","软件工程任务域较专，环境启动成本高","B-接口借鉴"
"7","环境与运行时","AgentBench: Evaluating LLMs as Agents","2024","ICLR 2024","Tsinghua; Ohio State; UC Berkeley","统一评测八类交互环境，强调多轮决策和环境反馈","有官方代码","https://openreview.net/forum?id=zAdUB0aCTQ","https://github.com/THUDM/AgentBench","早期跨环境 benchmark 框架与适配层参考","环境异构且部分外部依赖漂移，细粒度错误诊断有限","B-框架参考"
"8","环境与运行时","WebArena: A Realistic Web Environment for Building Autonomous Agents","2024","ICLR 2024","Carnegie Mellon University","用自托管网站、任务意图和功能正确性评测构建真实浏览环境","有官方代码","https://openreview.net/forum?id=oKn9c6ytLx","https://github.com/web-arena-x/webarena","借鉴可自托管网站、状态任务和 evaluator 组合","部署重；后续审计发现部分任务/评分器存在有效性问题","B-环境参考"
"9","环境与运行时","VisualWebArena: Evaluating Multimodal Agents on Realistic Visual Web Tasks","2024","ACL 2024","Carnegie Mellon University; University of Tokyo","在 WebArena 上加入依赖视觉理解的网页任务和视觉评测","有官方代码","https://aclanthology.org/2024.acl-long.50/","https://github.com/web-arena-x/visualwebarena","为多模态观察、截图证据和视觉任务扩展提供范式","浏览器环境昂贵且易受渲染、分辨率和视觉模型影响","C-扩展阶段"
"10","环境与运行时","WorkArena: How Capable Are Web Agents at Solving Common Knowledge Work Tasks?","2024","ICML 2024","ServiceNow Research","在 ServiceNow 自托管实例中评测常见知识工作流程","有官方代码","https://icml.cc/virtual/2024/poster/34722","https://github.com/ServiceNow/WorkArena","企业工作流、表单与跨页面任务设计参考","依赖 ServiceNow 环境；域覆盖集中于单一企业产品","B-任务设计参考"
